,Unnamed: 0,기관,시군구,주소,지역
43,,동구드림스타트센터,대구광역시 동구,대구 동구 동촌로14길 15-1 (검사동)1층,대구
44,,SOS프란치스카의집,대구광역시 동구,대구 동구 검사동   913-1번지,대구
45,,제일장애인보호작업장,대구광역시 동구,대구 동구 신천3동 171-6번지,대구
46,,사회복지법인 진명복지재단,대구광역시 동구,대구광역시 동구 신암5동1545번지 진명시니어카운티 2층,대구
47,,대구광역시장애인복지시설협회,대구광역시 동구,대구 동구 검사동   985-4번지 청곡빌딩 5층,대구
48,,요한의집,대구광역시 동구,대구 동구 각산동   896번지,대구
49,,팔공노인복지관,대구광역시 동구,대구 동구 동북로 393 (신암동)4층,대구
50,,사단법인 굿네이버스대구동부지부,대구광역시 동구,대구 동구 아양로 251 (신암동)5층,대구
51,,성덕실버타운,대구광역시 동구,대구광역시 동구 덕곡동 서촌로21길20-16,대구
52,,대구SOS어린이마을,대구광역시 동구,대구 동구 해동로 219 (검사동)대구SOS어린이마을,대구
53,,대동병원,대구광역시 동구,대구 동구 화랑로 169 (효목동)대동병원,대구
54,,SOS아동복지센터,대구광역시 동구,대구 동구 검사동974-2번지 SOS아동복지센터,대구
55,,영남가족사랑센터 부설 영남가정폭력상담소,대구광역시 동구,대구 동구 아양로49길 6 (신암동)2층,대구
56,,진명고향마을,대구광역시 동구,대구광역시 동구 파계로629,대구
57,,신용보증기금,대구광역시 동구,대구광역시 동구 신서동1157번지,대구
58,,정심수양원,대구광역시 동구,대구 동구 미곡동  82-1,대구
59,,진명재가노인복지센터,대구광역시 동구,대구광역시 동구 효목로13-1,대구
60,,진명해안노인복지센터,대구광역시 동구,대구광역시 동구 신평동 신평로54,대구
61,,동구정신건강복지센터,대구광역시 동구,대구 동구 동촌로 79 (검사동)4층 정신건강복지센터,대구
62,,(사)마이홈노인전문요양원,대구광역시 동구,대구 동구 불로동955-2번지,대구
63,,동구원스탑지원센터,대구광역시 동구,대구 동구 신암동1544-1번지,대구
64,,동촌장애인주간보호센터,대구광역시 동구,대구광역시 동구 입석동 입석로5,대구
65,,달구벌정신건강센터,대구광역시 동구,대구 동구 신성로 63 (신암동)3층 달구벌정신건강센터,대구
66,,일심재활원,대구광역시 동구,대구광역시 동구 반야월북로27길 33일심재활원,대구
67,,자유보호작업장,대구광역시 동구,대구광역시 동구 팔공산로 225-3434번지,대구
68,,선명요육원,대구광역시 동구,대구광역시 동구 팔공산로 225 (덕곡동)선명요육원,대구
69,,감천재가노인지원센터,대구광역시 동구,대구 동구 갓바위로 75 (진인동)감천재가노인지원센터,대구
70,,진명노인복지센터,대구광역시 동구,대구광역시 동구 신암5동  1545번지 진명시니어카운티 5층,대구
71,,동구노인종합복지관,대구광역시 동구,대구광역시 동구 공항로31길9-6(불로동) 동구노인종합복지관,대구
72,,동구재가노인복지센터,대구광역시 동구,대구광역시 동구 서호동 경안로107길42,대구
73,,제일기독종합사회복지관,대구광역시 동구,대구광역시 동구 송라로2길17-6,대구
74,,더불어진인마을,대구광역시 동구,대구 동구 진인동 248,대구
75,,대구파티마병원,대구광역시 동구,대구광역시 동구 아양로99 대구파티마병원( 자원봉사자실),대구
76,,안심제1종합사회복지관,대구광역시 동구,"대구광역시 동구 율하동 안심로22길3, 안심제1종합사회복지관",대구
77,,대구종합사회복지관(어린이재단),대구광역시 동구,대구 동구 율하동로26길 67 (서호동) 89-1,대구
78,,자유재활원,대구광역시 동구,대구광역시 동구 덕곡동 팔공산로225,대구
79,,베다니농원,대구광역시 동구,대구 동구 신기동188-18번지,대구
80,,사회복지법인 육영복지재단,대구광역시 동구,대구 동구 신평동 771-2,대구
81,,신생원,대구광역시 동구,대구 동구 신서동 600-1,대구
82,,홀트아동복지회대구아동상담소,대구광역시 동구,대구 달서구 두류3동 473-10,대구
83,,안심종합사회복지관,대구광역시 동구,대구광역시 동구 율하동로76 안심종합사회복지관,대구
84,,동촌종합사회복지관,대구광역시 동구,대구 동구 입석로 5 (입석동)동촌종합사회복지관,대구
85,,대구광역시사회복지협의회,대구광역시 동구,대구광역시 동구 해동로204(검사동) 청곡빌딩4층,대구
0,,희망지역아동센터,대구광역시 서구,대구 서구 국채보상로36길 26 (중리동)희망지역아동센터,대구
1,,둥지지역아동센터,대구광역시 서구,대구 서구 평리로55길 36 (평리동)둥지지역아동센터,대구
2,,샬롬기억학교,대구광역시 서구,대구 서구 가르뱅이로16길 25 (상리동)샬롬기억학교,대구
3,,보림기억학교,대구광역시 서구,대구 서구 국채보상로 124 (중리동)지하1층,대구
4,,내당노인복지관,대구광역시 서구,대구 서구 서대구로3길 44 (내당동)내당노인복지관,대구
5,,미소주간보호센터,대구광역시 서구,대구 서구 북비산로 235 (평리동)2층,대구
6,,비원노인복지관,대구광역시 서구,대구 서구 서대구로 268 (비산동)비원노인복지관,대구
7,,은동이장애인주간보호센터,대구광역시 서구,대구광역시 서구 국채보상로56길 7 (평리동)은동이장애인주간보호센터,대구
8,,영재지역아동센터,대구광역시 서구,대구광역시 서구 국채보상로 418-1 (비산동)5층,대구
9,,베스트지역아동센터,대구광역시 서구,대구광역시 서구 고성로15길 11-1 (원대동3가)1,대구
10,,서구노인복지관,대구광역시 서구,대구광역시 서구 문화로 288 (평리동),대구
11,,보은노인복지센터,대구광역시 서구,대구광역시 서구 국채보상로81안길 8 (비산동)보은노인복지센터,대구
12,,내고향노인요양원,대구광역시 서구,대구광역시 서구 통학로 175-6 (평리동),대구
13,,샬롬노인종합센터,대구광역시 서구,대구광역시 서구 상리동 가르뱅이로16길26,대구
14,,정다운노인복지센터,대구광역시 서구,대구광역시 서구 원대동3가 고성로21길6,대구
15,,샬롬노인복지센터,대구광역시 서구,대구광역시 서구 상리동 가르뱅이로16길25-1,대구
16,,대구북부노인보호전문기관,대구광역시 서구,대구광역시 서구 원대동3가 달서로284,대구
17,,경운행복한홈스쿨지역아동센터,대구광역시 서구,대구광역시 서구 내당동 서대구로11길38 2층,대구
18,,대구광역시서구정신건강복지센터,대구광역시 서구,대구광역시 서구 비산동 북비산로71길7,대구
19,,한신노인요양원,대구광역시 서구,대구광역시 서구 내당동 평리로306,대구
20,,대구서구시니어클럽,대구광역시 서구,"대구광역시 서구 평리동 국채보상로163 서대구신협빌딩 2,3층",대구
21,,해나라지역아동센터,대구광역시 서구,대구광역시 서구 비산동 달서로12길63,대구
22,,온누리지역아동센터,대구광역시 서구,대구광역시 서구 평리3동1070-40번지,대구
23,,대광지역아동센터,대구광역시 서구,대구광역시 서구 평리동 통학로17길18-1,대구
24,,혜민노인요양원,대구광역시 서구,대구광역시 서구 원대동3가 원대로13길38-14,대구
25,,성덕노인복지센터,대구광역시 서구,대구광역시 서구 내당동 달구벌대로371길39,대구
26,,노아의집,대구광역시 서구,대구광역시 서구 평리동 국채보상로42길 35노아의 집,대구
27,,사랑의연탄나눔운동,대구광역시 서구,대구광역시 서구 달서로26길 412층,대구
28,,꿈이있는집 지역아동센터,대구광역시 서구,대구광역시 서구 비산7동  1815-2번지,대구
29,,간호박사요양센터1,대구광역시 서구,대구광역시 서구 내당1동  10-1번지,대구
30,,꿈쟁이지역아동센터,대구광역시 서구,대구광역시 서구 평리3동  675-12번지,대구
31,,대평지역아동센터,대구광역시 서구,대구광역시 서구 평리3동  707-10번지,대구
32,,대서지역아동센터,대구광역시 서구,대구광역시 서구 평리2동  1109-1번지 2층,대구
33,,보은노인전문요양원,대구광역시 서구,대구 서구 국채보상로81안길 8 (비산동)(비산동),대구
34,,사랑마을요양원,대구광역시 서구,"대구광역시 서구 국채보상로50길10(평리4동,3층)",대구
35,,서대구주간보호센터,대구광역시 서구,대구광역시 서구 평리동 통학로175-6  3층  서대구주간보호센터,대구
36,,청솔노인복지센터,대구광역시 서구,대구 서구 원대동3가  1120-1번지,대구
37,,서대구실버하우스,대구광역시 서구,대구 서구 이현동 45-287번지,대구
38,,대구정신장애인종합재활센터미래엔미소클럽,대구광역시 서구,대구 서구 원대동3가  1120-1번지 제일종합사회복지관 4층,대구
39,,서구다문화가족지원센터,대구광역시 서구,대구 서구 서대구로 330 (비산동)5층,대구
40,,참사랑실버요양원,대구광역시 서구,대구 서구 상리동 214-1번지,대구
41,,서구장애인보호작업장,대구광역시 서구,대구광역시 서구 평리동 국채보상로46길57 2층 6호,대구
42,,대구쪽방상담소,대구광역시 서구,대구광역시 서구 평리동 문화로47길13-3,대구
43,,(사)전국자원봉사연맹,대구광역시 서구,대구 서구 비산6동 378-9번지,대구
44,,사회복지법인 신애보육원,대구광역시 서구,대구 서구 평리6동 421-1번지,대구
45,,대구시니어요양센터,대구광역시 서구,"대구 서구 평리4동1365-6번지 6, 7층",대구
46,,대구의료원,대구광역시 서구,대구 서구 평리로 157 (중리동)고객지원팀,대구
47,,소망모자원,대구광역시 서구,대구광역시 서구 새방로25길 46 (상리동)소망모자원,대구
48,,서부노인전문병원,대구광역시 서구,대구 서구 중리동1164-8번지,대구
49,,곽호순병원,대구광역시 서구,대구 서구 내당1동12-21번지,대구
50,,영락양로원,대구광역시 서구,대구 서구 상리동 214-1,대구
51,,서구종합사회복지관,대구광역시 서구,대구 서구 내당1동67-9,대구
52,,서구제일종합사회복지관,대구광역시 서구,대구광역시 서구 옥산로6길9,대구
0,0.0,밀알복지재단 대구경북지부,대구광역시 남구,"대구 남구 명덕로 104 (대명동)504호(대명동, 104 전문관)",대구
1,1.0,지역아동센터 대구광역시지원단,대구광역시 남구,대구 남구 효서길 8 (봉덕동)2층,대구
2,2.0,늘푸른집,대구광역시 남구,대구 남구 앞산순환로89길 82 (대명동)301호,대구
3,3.0,대명주간보호센터,대구광역시 남구,대구 남구 현충로 236 (대명동)동호빌딩 4층,대구
4,4.0,대명사회복지관,대구광역시 남구,대구 남구 양지로 8 (대명동)대명사회복지관,대구
5,5.0,남구건강가정다문화가족지원센터,대구광역시 남구,대구 남구 이천로 10 (봉덕동)남구건강가정다문화가족지원센터,대구
6,6.0,살림커뮤니티,대구광역시 남구,대구 남구 두류공원로 117 (대명동)살림커뮤니티,대구
7,7.0,별을만드는사람들,대구광역시 남구,대구광역시 남구 큰골길 10 (대명동)3층,대구
8,8.0,효원주간보호센터A,대구광역시 남구,대구광역시 남구 두류공원로 110 (대명동)2층,대구
9,9.0,엘에이치(LH)행복꿈터 에덴지역아동센터,대구광역시 남구,대구광역시 남구 큰골4길 19 (대명동)엘에이치(LH)행복꿈터 에덴지역아동센터,대구
10,10.0,보경주간보호센터,대구광역시 남구,대구광역시 남구 대봉로 109 (이천동)2층,대구
11,11.0,대구전환서비스센터,대구광역시 남구,대구광역시 남구 대명동 현충로129,대구
12,12.0,대명요양센터,대구광역시 남구,"대구광역시 남구 대명동 명덕로72 1,3층",대구
13,13.0,대구재활복지센터,대구광역시 남구,대구 남구 대명로 86 (대명동)11층 대구재활복지센터,대구
14,14.0,청인보호작업장,대구광역시 남구,대구광역시 남구 대명동 성당로102,대구
15,0.0,어울림보호작업장,대구광역시 남구,대구광역시 남구 봉덕동 중앙대로30길69,대구
16,1.0,에덴그룹홈,대구광역시 남구,대구광역시 남구 대명동 현충로26길40-1,대구
17,2.0,햇빛노인복지센터,대구광역시 남구,대구광역시 남구 봉덕동 봉덕로41 동영빌딩 8층,대구
18,3.0,참좋은기억학교,대구광역시 남구,"대구 남구 중앙대로 126 (봉덕동)옥불보전 2층, 참좋은기억학교",대구
19,4.0,야베스지역아동센터,대구광역시 남구,대구광역시 남구 이천동 명덕로286,대구
20,5.0,참사람지역아동센터,대구광역시 남구,대구광역시 남구 대명동 중앙대로40길2층 참사람지역아동센터,대구
21,6.0,대구지역아동센터,대구광역시 남구,대구광역시 남구 대명동 안지랑로21길50,대구
22,7.0,참좋은우리집,대구광역시 남구,대구광역시 남구 봉덕동 중앙대로126 광명전 5층,대구
23,8.0,더불어남구장애인재가복지봉사,대구광역시 남구,대구광역시 남구 대명동 명덕로14길 68,대구
24,9.0,더불어남구장애인주간보호,대구광역시 남구,대구광역시 남구 대명동 명덕로14길 68대명동,대구
25,10.0,유리어린이집,대구광역시 남구,대구광역시 남구 대명2동19-1번지,대구
26,11.0,사회복지법인 대구생명의전화,대구광역시 남구,대구 남구 중앙대로49길 25 (대명동)사회복지법인 대구생명의전화,대구
27,12.0,파랑새드림지역아동센터,대구광역시 남구,대구광역시 남구 대명5동  37-5번지,대구
28,13.0,아르미청소년문화재단대구경북지부,대구광역시 남구,대구 수성구 용학로 159 (지산동)2층,대구
29,14.0,대구남부노인보호전문기관,대구광역시 남구,대구광역시 남구 이천동 이천로128 3층,대구
30,0.0,여래원,대구광역시 남구,대구광역시 남구 이천로28길8-52 여래원,대구
31,1.0,온누리요양타운,대구광역시 남구,대구광역시 남구 대명4동  3049-4번지 3.4층,대구
32,2.0,더불어남구보호작업장,대구광역시 남구,대구 남구 대명5동 176-6번지 화남빌딩 3층,대구
33,3.0,대구생명의전화 대구상담소,대구광역시 남구,대구 남구 대명2동 1803-8번지,대구
34,4.0,행복한집,대구광역시 남구,대구 남구 대명1동 789-7번지,대구
35,5.0,남대구요양센터,대구광역시 남구,대구 남구 대명1동 1652-21번지 성경빌딩 4층,대구
36,6.0,힘찬누리,대구광역시 남구,대구 남구 봉덕3동 1292-161번지,대구
37,7.0,사회복지법인 앞산베네스트,대구광역시 남구,대구광역시 남구 큰골길 146 (대명동)사회복지법인 앞산베네스트,대구
38,8.0,카리타스남구보금자리,대구광역시 남구,대구 남구 안지랑로2길 15 (대명동)558-1번지,대구
39,9.0,밀알장애인주간보호센터,대구광역시 남구,대구 남구 대명3동 2278-14번지,대구
40,10.0,호동원,대구광역시 남구,대구 남구 희망로5길 19 (이천동)호동원,대구
41,11.0,대구가톨릭대학교 의료원,대구광역시 남구,대구 남구 대명4동  3056-6 대구가톨릭대학교병원 자원봉사활동인증센터,대구
42,12.0,무량수전노인전문요양원,대구광역시 남구,대구 남구 중앙대로 122 (봉덕동)1301-11,대구
43,13.0,대한민국 상이군경회 대구광역시지부 복지회관,대구광역시 남구,대구광역시 남구 봉덕로 12 (봉덕동),대구
44,14.0,대덕노인복지센터,대구광역시 남구,대구 남구 대명남로 19-2 (대명동)2층,대구
45,0.0,(사)대구광역시농아인협회,대구광역시 남구,대구 남구 대명5동142-8번지 명덕빌딩4층,대구
46,1.0,남구정신건강증진센터,대구광역시 남구,대구 남구 대명2동 2003번지 남구보건소 4층 남구정신건강복지센터,대구
47,2.0,사회복지법인 베네스트 비콘,대구광역시 남구,대구광역시 남구 현충로 98 (대명동)사회복지법인 베네스트 비콘,대구
48,3.0,대덕노인종합복지관,대구광역시 남구,대구 남구 큰골길 137 (대명동)대덕노인종합복지관,대구
49,4.0,에덴원,대구광역시 남구,대구광역시 남구 효서길8,대구
50,5.0,(사)한국장애인부모회 대구지회,대구광역시 남구,대구 남구 대명3동2258-34번지,대구
51,6.0,참좋은노인복지센터,대구광역시 남구,대구 남구 봉덕3동옥불보전 2층,대구
52,7.0,남구종합사회복지관,대구광역시 남구,대구 남구 대명2동 19-1번지,대구
53,8.0,대구아동복지센터,대구광역시 남구,대구 남구 대덕로 193 (봉덕동)대구아동복지센터,대구
54,9.0,영생애육원(사회복지법인),대구광역시 남구,대구 남구 대명9동 904-2,대구
0,0.0,유니에즈,대구광역시 북구,대구 북구 대학로23길 25-4 (산격동)유니에즈,대구
1,1.0,연세숲속요양원,대구광역시 북구,대구 북구 장태실길 13 (팔달동)연세숲속요양원,대구
2,2.0,대구케어요양원,대구광역시 북구,"대구 북구 침산남로 96 (침산동)포브스타워 7,8층",대구
3,3.0,대구농아인협회 북구지회,대구광역시 북구,대구 북구 칠곡중앙대로 461 (관음동)이조빌딩 4층,대구
4,4.0,행복요양원,대구광역시 북구,대구 북구 팔달로 191 (노원동2가)원타워 5층,대구
5,5.0,한가족노인복지센터,대구광역시 북구,대구 북구 침산남로13길 24 (침산동)한가족노인복지센터,대구
6,6.0,온누리어린이집,대구광역시 북구,대구 북구 연암로4길 35 (산격동)온누리어린이집,대구
7,7.0,강북재가노인지원센터,대구광역시 북구,대구광역시 북구 팔거천동로 206 (동천동)장원빌딩 503호,대구
8,8.0,원대주간보호센터,대구광역시 북구,대구광역시 북구 팔달로 191 (노원동2가)4층,대구
9,9.0,천유원실버타운,대구광역시 북구,대구광역시 북구 칠성남로36길 6 (칠성동2가)천유원실버타운,대구
10,10.0,보담장애인주간보호센터,대구광역시 북구,"대구광역시 북구 연암로 183 (산격동, 산격주공아파트)보담장애인주간보호센터",대구
11,11.0,관음어린이집,대구광역시 북구,대구광역시 북구 관음중앙로22길 3 (관음동)사회복지법인 관음어린이집,대구
12,12.0,대구광역시 지정 행복누리기억학교,대구광역시 북구,대구광역시 북구 노원동1가 오봉로6길12,대구
13,13.0,좋은친구지역아동센터,대구광역시 북구,대구광역시 북구 동천동 대천로17길27,대구
14,14.0,드림지역아동센터,대구광역시 북구,대구광역시 북구 학정동 학정로110길29,대구
15,0.0,상록주간보호센터,대구광역시 북구,대구광역시 북구 산격동 산격로31-1,대구
16,1.0,대구북부아동보호전문기관,대구광역시 북구,대구광역시 북구 산격동 연암로25길12-1 대구북부아동보호전문기관,대구
17,2.0,글로리지역아동센터,대구광역시 북구,대구광역시 북구 태전동 매전로50-39,대구
18,3.0,누리노인복지센터,대구광역시 북구,대구 북구 칠성로17길 2 (칠성동2가)2 2층,대구
19,4.0,민들레지역아동센터,대구광역시 북구,대구광역시 북구 태전동 칠곡중앙대로246 2층,대구
20,5.0,파티마홈,대구광역시 북구,대구광역시 북구 사수동 내곡로123,대구
21,6.0,북구노인복지관,대구광역시 북구,대구광역시 북구 침산동 성북로49,대구
22,7.0,북구정신건강복지센터,대구광역시 북구,대구 북구 성북로5길 43 (침산동)4층,대구
23,8.0,희망장애인주간보호센터,대구광역시 북구,대구광역시 북구 태전동 칠곡중앙대로254,대구
24,9.0,그린지역아동센터,대구광역시 북구,대구광역시 북구 국우동 구리로34길49-7 1층,대구
25,10.0,함지노인복지관,대구광역시 북구,대구광역시 북구 구암동 동암로180,대구
26,11.0,강북노인복지관,대구광역시 북구,대구광역시 북구 관음동 칠곡중앙대로91길21,대구
27,12.0,대불노인복지관,대구광역시 북구,대구 북구 검단로 8-14 (복현동)대불노인복지관,대구
28,13.0,구세군대구칠곡지역아동센터,대구광역시 북구,대구광역시 북구 관음동 관음동로9길15,대구
29,14.0,행복나무지역아동센터,대구광역시 북구,대구광역시 북구 구암동818-5,대구
30,0.0,효성소규모노인종합센터,대구광역시 북구,대구광역시 북구 도남동 도남길92-52,대구
31,1.0,가정북구노인복지센터,대구광역시 북구,대구 북구 오봉로6길 12 (노원동1가)2층,대구
32,2.0,다사랑지역아동센터,대구광역시 북구,대구광역시 북구 칠성동2가  139-9번지,대구
33,3.0,큰소망지역아동센터,대구광역시 북구,대구광역시 북구 구암동  688-12번지,대구
34,4.0,해인장애인보호작업장,대구광역시 북구,대구 북구 구암로60길 46-15 (구암동)해인장애인보호작업장,대구
35,5.0,대구케어실버타운복지센터,대구광역시 북구,대구광역시 북구 침산3동  430-1번지 포브스타워 7층,대구
36,6.0,대구광역치매센터,대구광역시 북구,대구광역시 북구 학정동  474번지 칠곡경북대학교병원2층,대구
37,7.0,효성기억학교,대구광역시 북구,대구광역시 북구 구암동 구암로60길38 3층,대구
38,8.0,상록뇌성마비복지관,대구광역시 북구,대구광역시 북구 산격2동  608-2번지,대구
39,9.0,해인장애인단기보호센터,대구광역시 북구,대구 북구 구암로60길 46-18 (구암동)),대구
40,10.0,대구북구다문화가족지원센터,대구광역시 북구,대구광역시 북구 관음동  1383-15번지 고려빌딩5층,대구
41,11.0,대구북구건강가정지원센터,대구광역시 북구,대구 북구 칠곡중앙대로 473 (관음동)조은빌딩 2층 대구북구건강가정지원센터,대구
42,12.0,천광원,대구광역시 북구,대구광역시 북구 동북로57,대구
43,13.0,행복한백세요양원,대구광역시 북구,대구 북구 칠성동2가 378-26번지 5층,대구
44,14.0,솔로몬지역아동센터,대구광역시 북구,대구 북구 관음동 1284번지,대구
45,0.0,(사)한국스카우트경북연맹,대구광역시 북구,대구 북구 산격1동 1111-4번지,대구
46,1.0,근로복지공단 대구병원,대구광역시 북구,대구 북구 학정동   533번지,대구
47,2.0,굿네이버스 하늘지역아동센터,대구광역시 북구,"대구광역시 북구 칠성로17길 4, 2층",대구
48,3.0,선유지역아동센터,대구광역시 북구,대구 북구 동변동   352-2번지,대구
49,4.0,성보재활원 성보보호작업장,대구광역시 북구,대구광역시 북구 복현동 동북로71길9-29,대구
50,5.0,복현지역아동센터,대구광역시 북구,대구 북구 복현2동 375-1번지 3층,대구
51,6.0,강북장애인주간보호센터,대구광역시 북구,대구 북구 구암동 450-1번지,대구
52,7.0,선린장애인주간보호센터,대구광역시 북구,대구 북구 관음동 477-1번지 3층,대구
53,8.0,선린장애인보호작업장,대구광역시 북구,대구광역시 북구 관음동로9길 10-25 (관음동)B동,대구
54,9.0,사회복지법인대양 강북어린이집,대구광역시 북구,대구 북구 동호동 382번지,대구
55,10.0,효성실버타운,대구광역시 북구,대구광역시 북구 도남동 도남길92-52,대구
56,11.0,한우리보호작업장,대구광역시 북구,대구 북구 복현2동 45번지,대구
57,12.0,새볕실버빌,대구광역시 북구,대구 북구 태전동 370-1번지,대구
58,13.0,첨단요양병원,대구광역시 북구,대구광역시 북구 대현로 19첨단요양병원,대구
59,14.0,의료법인 성동병원,대구광역시 북구,대구 북구 관음동 1404-2번지,대구
60,0.0,영진사이버대학교,대구광역시 북구,대구 북구 복현동 218번지,대구
61,1.0,미래지움 가정복지회,대구광역시 북구,대구 북구 산격3동1416-6번지,대구
62,2.0,배성병원,대구광역시 북구,대구 북구 검단동986-2,대구
63,3.0,대구북구지역자활센터,대구광역시 북구,대구 북구 침산남로 49 (노원동1가)2층,대구
64,4.0,효성노인복지센터,대구광역시 북구,대구 북구 구암동820-14,대구
65,5.0,사회복지법인 미생회 희망의집,대구광역시 북구,대구 북구 산격2동489-1,대구
66,6.0,참누리정신건강상담센터,대구광역시 북구,대구 북구 산격3동 1291-22번 3층,대구
67,7.0,가나안노인복지센터,대구광역시 북구,대구광역시 북구 칠곡중앙대로77길14 복음재단,대구
68,8.0,복음양로원,대구광역시 북구,대구 북구 태전동 1064-2,대구
69,9.0,복음실버타운,대구광역시 북구,대구광역시 북구 칠곡중앙대로77길 14복음실버타운,대구
70,10.0,대구안식원,대구광역시 북구,대구광역시 북구 복현로20길52,대구
71,11.0,산격종합사회복지관,대구광역시 북구,대구 북구 산격1동주공아파트724-12,대구
72,12.0,성부정신수양원,대구광역시 북구,대구 북구 복현2동57-3,대구
73,13.0,대구위니스,대구광역시 북구,대구 북구 노원1가 367번지 상미빌딩 3층,대구
74,14.0,성보재활원(사회복지법인),대구광역시 북구,대구 북구 복현2동 315,대구
75,0.0,사회복지법인새볕원,대구광역시 북구,대구광역시 북구 영송로 36-6 (태전동)새볕원,대구
76,1.0,가정종합사회복지관,대구광역시 북구,대구 북구 산격3동1304-1,대구
77,2.0,선린종합사회복지관,대구광역시 북구,대구광역시 북구 관음동 관음동로9길10-25,대구
0,0.0,하담지역아동센터,대구광역시 수성구,대구 수성구 지범로21길 6 (지산동)하담지역아동센터,대구
1,1.0,수성구청직장어린이집,대구광역시 수성구,대구 수성구 달구벌대로495길 26-13 (범어동)수성구청직장어린이집,대구
2,2.0,범물노인복지관,대구광역시 수성구,대구 수성구 범안로 99 (범물동)범물노인복지관,대구
3,3.0,수성어린이집,대구광역시 수성구,대구광역시 수성구 명덕로76길 80-1 (수성동1가)수성어린이집,대구
4,4.0,해달별어린이집,대구광역시 수성구,대구광역시 수성구 용학로46길 22 (지산동)해달별어린이집,대구
5,5.0,내부모요양돌봄타운,대구광역시 수성구,대구광역시 수성구 지범로27길 23 (지산동)지산동,대구
6,6.0,시지장애인주간보호센터,대구광역시 수성구,대구광역시 수성구 달구벌대로650길 97-4 (욱수동)시지장애인주간보호센터,대구
7,7.0,황금장애인주간보호센터,대구광역시 수성구,"대구광역시 수성구 청수로45길 41 (황금동, 황금3주공아파트)",대구
8,8.0,마야노인복지센터,대구광역시 수성구,대구광역시 수성구 만촌동 공경로55-3 2층,대구
9,9.0,청인기억학교,대구광역시 수성구,대구광역시 수성구 지산동 지범로174 6층,대구
10,10.0,발달장애인자립지원협회,대구광역시 수성구,대구광역시 수성구 범물동 지범로39길11 2층,대구
11,11.0,고산노인복지관,대구광역시 수성구,대구광역시 수성구 욱수동 욱수천로99,대구
12,12.0,수성구치매안심센터,대구광역시 수성구,대구광역시 수성구 중동 수성로213,대구
13,13.0,중앙지역아동센터,대구광역시 수성구,대구광역시 수성구 만촌동 만촌로138,대구
14,14.0,늘사랑청소년센터,대구광역시 수성구,대구광역시 수성구 범어동 국채보상로906,대구
15,0.0,가톨릭푸름터,대구광역시 수성구,대구광역시 수성구 황금동 들안로32길96-11,대구
16,1.0,대구시희망드리보호작업장,대구광역시 수성구,대구광역시 수성구 파동 파동로51길26-17,대구
17,2.0,한울장애인주간보호센터,대구광역시 수성구,대구광역시 수성구 만촌동 만촌로1길37,대구
18,3.0,예원노인복지센터,대구광역시 수성구,대구광역시 수성구 파동 파동로38길39,대구
19,4.0,청인재가노인복지센터,대구광역시 수성구,대구 수성구 명덕로 384 (수성동1가)384 3층,대구
20,5.0,수성보호작업장,대구광역시 수성구,대구광역시 수성구 만촌동 동원로28길31,대구
21,6.0,선한이웃지역아동센터,대구광역시 수성구,대구광역시 수성구 시지동 시지로90-4,대구
22,7.0,선한이웃재가노인지원센터,대구광역시 수성구,대구 수성구 시지로14길 7-18 (시지동)선한이웃재가노인지원센터,대구
23,8.0,의료법인 한성재단 동아메디병원,대구광역시 수성구,대구광역시 수성구 지산동 지산로77,대구
24,9.0,매호지역아동센터,대구광역시 수성구,대구광역시 수성구 매호동1337-4번지 2층,대구
25,10.0,(사)한국뇌성마비복지회 대경지회,대구광역시 수성구,대구광역시 수성구 만촌동 만촌로4길 20-1,대구
26,11.0,수성구장애청소년자립지원센터,대구광역시 수성구,"대구광역시 수성구 파동27-302, 1층",대구
27,12.0,사회복지법인 화니어린이집,대구광역시 수성구,대구광역시 수성구 두산동  120-4번지,대구
28,13.0,숲 중증장애인다수고용사업장,대구광역시 수성구,대구광역시 수성구 고모동  90-1번지,대구
29,14.0,룸비니동산,대구광역시 수성구,대구광역시 수성구 달구벌대로527길13-12,대구
30,0.0,미스바요양센터,대구광역시 수성구,대구광역시 수성구 만촌1동  414-2번지 구세빌딩 2층,대구
31,1.0,혜성보호작업장,대구광역시 수성구,대구광역시 수성구 황금1동  965번지,대구
32,2.0,한국농아인협회 수성구지부,대구광역시 수성구,대구광역시 수성구 범어1동  561-4번지 지하철2호선 범어역사 내,대구
33,3.0,사회복지법인DGB사회공헌재단,대구광역시 수성구,대구 북구 옥산로 111 (칠성동2가)9층,대구
34,4.0,황금지역아동센터,대구광역시 수성구,대구 수성구 지산1동 982-1번지 2층,대구
35,5.0,사회복지법인 청인재단,대구광역시 수성구,대구광역시 수성구 명덕로 384 (수성동1가)4층,대구
36,6.0,해오름요양원,대구광역시 수성구,대구 수성구 파동로51길 96 (파동).,대구
37,7.0,천주성삼병원,대구광역시 수성구,대구광역시 수성구 달구벌대로3190,대구
38,8.0,수성장애인주간보호센터,대구광역시 수성구,대구 수성구 만촌2동 999-15번지,대구
39,9.0,아시아재활교육센터,대구광역시 수성구,대구광역시 수성구 노변공원로 49-1 (노변동)아시아재활교육센터,대구
40,10.0,어린이재단 대구지역본부,대구광역시 수성구,대구광역시 중구 동인동4가 국채보상로719번지 원진빌딩 9층 어린이재단 대구지역본부,대구
41,11.0,SOS아동보호센터,대구광역시 수성구,대구 수성구 무열로 171 (만촌동)636-4번지,대구
